UnixTimeStamp, PupilDiameterRight, PupilDiameterLeft, PupilPositionRight(X), PupilPositionRight(Y), PupilPositionLeft(X), PupilPositionLeft(Y), EyeOpenRight, EyeOpenLeft, GazeOriginRight(X), GazeOriginRight(Y), GazeOriginRight(Z), GazeOriginLeft(X), GazeOriginLeft(Y), GazeOriginLeft(Z), GazeDirectionRight(X), GazeDirectionRight(Y), GazeDirectionRight(Z), GazeDirectionLeft(X), GazeDirectionLeft(Y), GazeDirectionLeft(Z), CurrentFocusObject
BEGIN1
1609801408, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.13908, 8.651398, -48.29541, 0, 0, 0, 0, 0, 0, Nothing
1609801408, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.13908, 8.651398, -48.29541, 0, 0, 0, 0, 0, 0, Nothing
1609801408, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.13908, 8.651398, -48.29541, 0, 0, 0, 0, 0, 0, Nothing
1609801408, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.13908, 8.651398, -48.29541, 0, 0, 0, 0, 0, 0, Nothing
1609801408, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.13908, 8.651398, -48.29541, 0, 0, 0, 0, 0, 0, Nothing
1609801408, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.13908, 8.651398, -48.29541, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.13908, 8.651398, -48.29541, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.13908, 8.651398, -48.29541, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.13908, 8.651398, -48.29541, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.13908, 8.651398, -48.29541, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.13908, 8.651398, -48.29541, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.13908, 8.651398, -48.29541, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.13908, 8.651398, -48.29541, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.13908, 8.651398, -48.29541, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0.005341213, 0, -29.88985, 8.750748, -56.50198, 39.13908, 8.651398, -48.29541, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.13908, 8.651398, -48.29541, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.13908, 8.651398, -48.29541, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0.009368708, 0, -29.88985, 8.750748, -56.50198, 39.13908, 8.651398, -48.29541, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0.005544336, 0.01180228, -29.88985, 8.750748, -56.50198, 39.13908, 8.651398, -48.29541, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0.01996044, 0.005874973, -29.88985, 8.750748, -56.50198, 39.13908, 8.651398, -48.29541, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0.01322663, 0, -29.88985, 8.750748, -56.50198, 39.13908, 8.651398, -48.29541, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0.01143272, 0.002457048, -29.88985, 8.750748, -56.50198, 39.13908, 8.651398, -48.29541, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0.0108284, 0.03054494, -29.88985, 8.750748, -56.50198, 39.23068, 8.98999, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0, 0.01553193, -29.88985, 8.750748, -56.50198, 39.23068, 8.98999, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0.003899077, 0.02316429, -29.88985, 8.750748, -56.50198, 39.23068, 8.98999, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0.0001233587, 0.005372187, -29.88985, 8.750748, -56.50198, 39.23068, 8.98999, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0, 0.01100441, -29.88985, 8.750748, -56.50198, 39.23068, 8.98999, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0.004261469, 0, -29.88985, 8.750748, -56.50198, 39.23068, 8.98999, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.23068, 8.98999, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.23068, 8.98999, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.23068, 8.98999, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.23068, 8.98999, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.23068, 8.98999, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.23068, 8.98999, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.23068, 8.98999, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.23068, 8.98999, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0, 0.00594031, -29.88985, 8.750748, -56.50198, 39.23068, 8.98999, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0, 0.01440196, -29.88985, 8.750748, -56.50198, 39.23068, 8.98999, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0.004861056, 0, -29.88985, 8.750748, -56.50198, 39.23068, 8.98999, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801409, -1, -1, -1, -1, -1, -1, 0.002663279, 0.01421272, -29.88985, 8.750748, -56.50198, 39.23068, 8.98999, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
